Airline,Source,Destination,Total_Stops,Day,Month,Total_Duration
Air India,Kolkata,Banglore,2,21,5,20.166666666666668
Air Asia,Banglore,Delhi,0,21,6,2.8333333333333335
IndiGo,Kolkata,Banglore,0,21,4,2.5833333333333335
Air Asia,Banglore,Delhi,0,27,5,2.8333333333333335
IndiGo,Kolkata,Banglore,1,24,5,5.333333333333333
Air India,Delhi,Cochin,2,9,5,38.25
IndiGo,Delhi,Cochin,1,21,3,4.416666666666667
Multiple carriers,Delhi,Cochin,1,21,3,15.25
Air India,Delhi,Cochin,1,24,5,12.75
Jet Airways,Delhi,Cochin,1,9,6,25.083333333333332
Jet Airways,Banglore,Delhi,1,12,3,12.5
Jet Airways,Kolkata,Banglore,1,21,5,9.583333333333334
SpiceJet,Mumbai,Hyderabad,0,6,6,1.5
IndiGo,Delhi,Cochin,1,6,6,9.333333333333334
Air India,Mumbai,Hyderabad,2,12,3,11.833333333333334
Multiple carriers,Delhi,Cochin,1,24,6,6.416666666666667
Jet Airways,Banglore,Delhi,1,15,3,5.25
Multiple carriers,Delhi,Cochin,1,21,5,7.5
IndiGo,Mumbai,Hyderabad,0,6,6,1.5
Air India,Banglore,Delhi,3,3,3,11.916666666666666
Multiple carriers,Delhi,Cochin,1,9,6,7.333333333333333
Jet Airways,Kolkata,Banglore,1,6,5,22.75
IndiGo,Banglore,Delhi,0,24,3,2.75
Multiple carriers,Delhi,Cochin,1,21,5,11.5
Air India,Delhi,Cochin,2,21,3,26.333333333333332
Jet Airways,Delhi,Cochin,2,21,3,42.083333333333336
Jet Airways,Kolkata,Banglore,1,1,4,13.333333333333334
IndiGo,Kolkata,Banglore,1,15,4,4.416666666666667
SpiceJet,Kolkata,Banglore,0,18,6,2.5
Multiple carriers,Delhi,Cochin,1,27,5,13.833333333333334
IndiGo,Kolkata,Banglore,1,24,4,4.833333333333333
IndiGo,Delhi,Cochin,1,9,3,7.0
IndiGo,Delhi,Cochin,0,18,3,3.25
Air India,Delhi,Cochin,2,21,5,20.333333333333332
Air India,Banglore,Delhi,0,15,4,2.75
SpiceJet,Chennai,Kolkata,0,15,3,2.3333333333333335
Air Asia,Banglore,Delhi,0,1,3,2.8333333333333335
Air India,Kolkata,Banglore,0,24,5,2.5
Jet Airways,Banglore,Delhi,0,3,5,3.0833333333333335
Jet Airways,Delhi,Cochin,2,6,3,24.583333333333332
Air India,Mumbai,Hyderabad,2,6,3,30.666666666666668
Jet Airways,Kolkata,Banglore,1,12,5,13.333333333333334
IndiGo,Kolkata,Banglore,0,1,4,2.5833333333333335
SpiceJet,Kolkata,Banglore,0,3,6,2.5833333333333335
Multiple carriers,Delhi,Cochin,1,15,5,7.833333333333333
Air India,Delhi,Cochin,2,27,5,26.583333333333332
Jet Airways,Delhi,Cochin,2,9,5,29.583333333333332
IndiGo,Kolkata,Banglore,1,6,5,5.5
Air India,Delhi,Cochin,1,3,6,16.083333333333332
Multiple carriers,Delhi,Cochin,1,6,3,11.833333333333334
Jet Airways,Kolkata,Banglore,1,21,5,12.5
Air India,Kolkata,Banglore,1,9,5,15.083333333333334
Air India,Delhi,Cochin,2,3,3,30.333333333333332
Air Asia,Banglore,Delhi,0,12,5,2.8333333333333335
Air India,Delhi,Cochin,2,9,5,26.333333333333332
Vistara,Kolkata,Banglore,1,1,4,27.083333333333332
Jet Airways,Delhi,Cochin,1,3,6,28.0
Jet Airways,Banglore,Delhi,1,12,3,21.25
Air India,Delhi,Cochin,1,1,3,27.666666666666668
Jet Airways,Kolkata,Banglore,1,1,5,26.166666666666668
IndiGo,Delhi,Cochin,1,9,6,4.833333333333333
IndiGo,Chennai,Kolkata,0,1,3,2.4166666666666665
Jet Airways,Mumbai,Hyderabad,0,24,6,1.4166666666666667
IndiGo,Kolkata,Banglore,1,24,4,4.583333333333333
SpiceJet,Mumbai,Hyderabad,0,1,5,1.5
IndiGo,Kolkata,Banglore,1,12,6,4.833333333333333
Vistara,Kolkata,Banglore,1,9,6,27.583333333333332
IndiGo,Delhi,Cochin,1,6,4,5.0
Air India,Kolkata,Banglore,3,24,3,17.333333333333332
Multiple carriers,Delhi,Cochin,1,24,6,10.0
Air India,Banglore,Delhi,1,6,3,8.0
IndiGo,Delhi,Cochin,0,27,3,3.0833333333333335
IndiGo,Kolkata,Banglore,0,21,5,2.5833333333333335
Jet Airways,Delhi,Cochin,2,27,5,7.333333333333333
Air India,Delhi,Cochin,2,27,3,23.5
Jet Airways,Delhi,Cochin,2,9,6,26.916666666666668
IndiGo,Delhi,Cochin,1,27,3,9.5
Jet Airways,Delhi,Cochin,1,9,5,23.583333333333332
Jet Airways,Kolkata,Banglore,1,6,6,28.833333333333332
Jet Airways,Kolkata,Banglore,1,21,5,13.333333333333334
Vistara,Kolkata,Banglore,1,6,6,16.083333333333332
IndiGo,Delhi,Cochin,1,18,5,13.916666666666666
SpiceJet,Banglore,Delhi,0,9,3,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,12,6,6.5
Jet Airways,Kolkata,Banglore,1,12,5,12.916666666666666
SpiceJet,Kolkata,Banglore,0,18,5,2.4166666666666665
SpiceJet,Banglore,Delhi,0,15,3,2.9166666666666665
IndiGo,Banglore,Delhi,0,6,5,2.9166666666666665
Jet Airways,Kolkata,Banglore,1,6,6,7.083333333333333
Air Asia,Kolkata,Banglore,0,6,4,2.5
SpiceJet,Kolkata,Banglore,0,6,3,2.6666666666666665
SpiceJet,Kolkata,Banglore,1,18,5,7.25
Multiple carriers,Delhi,Cochin,1,18,5,12.0
IndiGo,Banglore,Delhi,0,1,6,2.8333333333333335
IndiGo,Chennai,Kolkata,0,9,5,2.4166666666666665
SpiceJet,Kolkata,Banglore,0,27,4,2.5
Air India,Banglore,Delhi,1,1,3,21.083333333333332
Jet Airways,Delhi,Cochin,2,3,6,13.5
Multiple carriers,Delhi,Cochin,1,15,6,15.333333333333334
IndiGo,Banglore,Delhi,0,24,3,2.9166666666666665
IndiGo,Banglore,Delhi,0,27,6,3.0
Jet Airways,Delhi,Cochin,2,3,6,15.166666666666666
Multiple carriers,Delhi,Cochin,1,15,6,7.583333333333333
SpiceJet,Kolkata,Banglore,0,21,3,2.3333333333333335
IndiGo,Chennai,Kolkata,0,27,6,2.3333333333333335
Jet Airways,Delhi,Cochin,2,15,6,13.833333333333334
SpiceJet,Mumbai,Hyderabad,0,9,5,1.5
Air India,Kolkata,Banglore,2,24,3,15.916666666666666
Jet Airways,Delhi,Cochin,1,12,6,6.0
SpiceJet,Chennai,Kolkata,0,24,3,2.5833333333333335
Air India,Kolkata,Banglore,2,9,6,22.416666666666668
Multiple carriers,Delhi,Cochin,2,1,6,7.666666666666667
Air India,Kolkata,Banglore,2,6,5,23.083333333333332
IndiGo,Chennai,Kolkata,0,21,6,2.3333333333333335
IndiGo,Kolkata,Banglore,0,12,5,2.5
IndiGo,Banglore,Delhi,0,15,6,2.75
Jet Airways,Delhi,Cochin,1,9,6,21.583333333333332
SpiceJet,Chennai,Kolkata,0,6,5,2.25
IndiGo,Kolkata,Banglore,0,12,4,2.6666666666666665
SpiceJet,Delhi,Cochin,1,9,3,6.25
Air India,Kolkata,Banglore,2,15,5,23.083333333333332
Jet Airways,Kolkata,Banglore,1,24,3,9.833333333333334
Jet Airways,Banglore,Delhi,0,12,4,3.0
IndiGo,Delhi,Cochin,1,18,5,11.083333333333334
Jet Airways,Delhi,Cochin,2,6,6,21.666666666666668
IndiGo,Delhi,Cochin,1,9,6,10.5
Air India,Delhi,Cochin,0,18,6,3.0833333333333335
IndiGo,Delhi,Cochin,1,18,5,5.083333333333333
IndiGo,Chennai,Kolkata,0,21,6,2.4166666666666665
Jet Airways,Delhi,Cochin,1,9,6,6.0
Air India,Kolkata,Banglore,1,24,5,4.083333333333333
Jet Airways,Delhi,Cochin,2,27,3,38.583333333333336
SpiceJet,Chennai,Kolkata,0,1,5,2.25
Multiple carriers,Delhi,Cochin,1,24,5,11.5
Jet Airways,Delhi,Cochin,1,21,3,16.583333333333332
Jet Airways,Delhi,Cochin,1,9,5,14.416666666666666
IndiGo,Banglore,Delhi,0,27,5,2.9166666666666665
Jet Airways,Banglore,Delhi,0,21,6,3.0
Multiple carriers,Delhi,Cochin,1,21,3,6.333333333333333
Air India,Delhi,Cochin,1,6,4,16.083333333333332
Jet Airways,Kolkata,Banglore,1,9,5,5.75
Air Asia,Banglore,Delhi,0,9,6,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,6,3,9.0
Air India,Delhi,Cochin,1,15,5,12.75
Jet Airways,Banglore,Delhi,0,6,5,2.9166666666666665
Multiple carriers,Delhi,Cochin,1,12,6,15.333333333333334
Jet Airways,Kolkata,Banglore,1,9,6,7.25
Multiple carriers,Delhi,Cochin,2,21,5,10.416666666666666
Jet Airways,Kolkata,Banglore,1,18,5,12.5
SpiceJet,Kolkata,Banglore,0,21,6,2.5
IndiGo,Kolkata,Banglore,0,9,6,2.5
Jet Airways,Kolkata,Banglore,1,15,5,19.5
IndiGo,Kolkata,Banglore,0,3,3,2.8333333333333335
Jet Airways,Delhi,Cochin,1,9,3,22.0
Air India,Delhi,Cochin,0,18,3,2.8333333333333335
Air India,Mumbai,Hyderabad,2,12,3,29.916666666666668
Air India,Banglore,Delhi,1,9,3,13.083333333333334
Jet Airways,Delhi,Cochin,2,21,3,37.333333333333336
Multiple carriers,Delhi,Cochin,1,3,3,13.25
Jet Airways,Banglore,Delhi,0,3,5,3.0
IndiGo,Delhi,Cochin,1,3,3,9.5
Jet Airways,Delhi,Cochin,2,27,6,30.75
Jet Airways,Kolkata,Banglore,1,12,6,12.166666666666666
Multiple carriers,Delhi,Cochin,1,9,6,14.083333333333334
IndiGo,Kolkata,Banglore,1,21,5,4.666666666666667
Multiple carriers,Delhi,Cochin,1,27,3,8.083333333333334
Multiple carriers,Delhi,Cochin,1,27,5,15.166666666666666
Air Asia,Delhi,Cochin,1,21,5,5.75
IndiGo,Mumbai,Hyderabad,0,1,6,1.5
Air India,Banglore,Delhi,1,3,3,13.166666666666666
SpiceJet,Kolkata,Banglore,0,21,5,2.5
Multiple carriers,Delhi,Cochin,1,6,6,8.916666666666666
IndiGo,Banglore,Delhi,0,24,3,2.9166666666666665
Jet Airways,Banglore,Delhi,0,24,4,2.9166666666666665
Jet Airways,Delhi,Cochin,2,3,6,7.083333333333333
Air India,Mumbai,Hyderabad,0,12,6,1.3333333333333333
Jet Airways,Kolkata,Banglore,1,18,5,18.0
Jet Airways,Kolkata,Banglore,1,12,6,28.666666666666668
IndiGo,Delhi,Cochin,1,15,5,7.583333333333333
Multiple carriers,Delhi,Cochin,1,27,6,10.666666666666666
Air India,Banglore,Delhi,1,3,3,24.833333333333332
Vistara,Banglore,Delhi,0,12,6,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,9,5,22.166666666666668
Vistara,Kolkata,Banglore,1,12,5,11.666666666666666
Air India,Delhi,Cochin,1,9,3,5.25
Jet Airways,Kolkata,Banglore,1,6,6,11.416666666666666
Jet Airways,Delhi,Cochin,2,18,5,13.5
Multiple carriers,Delhi,Cochin,1,9,5,9.0
Jet Airways,Kolkata,Banglore,1,9,6,6.583333333333333
IndiGo,Banglore,Delhi,0,18,5,2.9166666666666665
IndiGo,Kolkata,Banglore,0,12,4,2.5
Jet Airways,Delhi,Cochin,2,9,3,12.5
SpiceJet,Banglore,Delhi,0,12,4,2.6666666666666665
SpiceJet,Kolkata,Banglore,0,12,6,2.5833333333333335
IndiGo,Delhi,Cochin,1,3,6,5.75
Jet Airways,Kolkata,Banglore,1,6,6,22.166666666666668
Jet Airways,Kolkata,Banglore,1,12,5,25.333333333333332
Air India,Chennai,Kolkata,0,21,5,2.25
Jet Airways,Delhi,Cochin,2,21,3,33.25
Jet Airways,Kolkata,Banglore,1,1,5,22.75
Vistara,Mumbai,Hyderabad,1,6,3,8.0
Multiple carriers,Delhi,Cochin,1,21,5,7.666666666666667
IndiGo,Kolkata,Banglore,0,24,5,2.5833333333333335
Jet Airways,Kolkata,Banglore,1,9,6,13.333333333333334
IndiGo,Delhi,Cochin,0,6,3,3.0833333333333335
Jet Airways,Kolkata,Banglore,1,9,6,25.0
Jet Airways,Delhi,Cochin,1,24,6,21.583333333333332
Jet Airways,Delhi,Cochin,2,24,6,26.916666666666668
Jet Airways,Delhi,Cochin,1,9,5,6.0
Jet Airways,Delhi,Cochin,1,18,5,9.0
SpiceJet,Banglore,Delhi,0,6,5,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,27,6,15.0
Air India,Banglore,Delhi,1,15,3,12.416666666666666
IndiGo,Banglore,Delhi,0,12,5,2.8333333333333335
SpiceJet,Mumbai,Hyderabad,0,15,6,1.5
Multiple carriers,Delhi,Cochin,2,21,3,14.166666666666666
IndiGo,Kolkata,Banglore,0,6,4,2.75
IndiGo,Delhi,Cochin,1,21,3,8.583333333333334
Air India,Delhi,Cochin,2,24,5,21.25
Air India,Mumbai,Hyderabad,0,15,3,1.3333333333333333
Jet Airways,Delhi,Cochin,1,6,6,25.5
Vistara,Kolkata,Banglore,1,9,6,25.833333333333332
Air India,Kolkata,Banglore,1,1,4,25.666666666666668
Jet Airways,Kolkata,Banglore,1,6,5,6.583333333333333
Air India,Delhi,Cochin,0,9,6,3.0
IndiGo,Banglore,Delhi,0,9,6,2.8333333333333335
Jet Airways,Banglore,Delhi,1,21,3,11.083333333333334
Vistara,Banglore,Delhi,0,3,4,2.8333333333333335
SpiceJet,Kolkata,Banglore,0,1,4,2.4166666666666665
Jet Airways,Delhi,Cochin,2,21,3,17.666666666666668
Jet Airways,Banglore,Delhi,0,24,4,3.0
IndiGo,Banglore,Delhi,0,27,5,3.0
Jet Airways,Kolkata,Banglore,1,1,5,9.583333333333334
IndiGo,Kolkata,Banglore,1,1,5,5.5
Jet Airways,Kolkata,Banglore,1,9,5,17.916666666666668
IndiGo,Delhi,Cochin,1,27,3,16.25
Air India,Delhi,Cochin,0,27,3,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,6,3,9.666666666666666
Air India,Kolkata,Banglore,2,24,5,15.916666666666666
Jet Airways,Mumbai,Hyderabad,0,18,6,1.4166666666666667
IndiGo,Delhi,Cochin,1,24,6,5.333333333333333
Jet Airways,Banglore,Delhi,1,6,3,13.083333333333334
Jet Airways,Delhi,Cochin,2,24,6,22.916666666666668
SpiceJet,Kolkata,Banglore,0,18,5,2.4166666666666665
Multiple carriers,Delhi,Cochin,1,27,3,8.5
Jet Airways,Banglore,Delhi,1,18,3,23.666666666666668
Jet Airways,Banglore,Delhi,0,12,5,2.75
IndiGo,Banglore,Delhi,0,15,4,2.9166666666666665
Jet Airways,Delhi,Cochin,1,27,6,7.5
Multiple carriers,Delhi,Cochin,1,27,6,13.916666666666666
Jet Airways,Delhi,Cochin,1,18,5,19.416666666666668
Multiple carriers,Delhi,Cochin,1,21,3,15.166666666666666
Air India,Kolkata,Banglore,2,18,5,10.166666666666666
Jet Airways,Kolkata,Banglore,1,6,6,11.5
IndiGo,Banglore,Delhi,0,12,5,2.8333333333333335
Jet Airways,Banglore,Delhi,1,6,3,6.25
Jet Airways,Kolkata,Banglore,1,6,5,21.916666666666668
Jet Airways,Kolkata,Banglore,1,1,5,11.75
Multiple carriers,Delhi,Cochin,1,9,5,8.0
Jet Airways,Kolkata,Banglore,1,18,5,11.5
Jet Airways,Delhi,Cochin,1,27,6,18.333333333333332
SpiceJet,Kolkata,Banglore,0,12,6,2.4166666666666665
Jet Airways,Delhi,Cochin,2,24,6,8.916666666666666
Air India,Kolkata,Banglore,0,21,6,2.5
Jet Airways,Delhi,Cochin,2,9,3,17.666666666666668
Multiple carriers,Delhi,Cochin,2,27,3,11.583333333333334
IndiGo,Delhi,Cochin,1,3,3,5.25
Air India,Mumbai,Hyderabad,0,1,5,1.5
IndiGo,Banglore,Delhi,0,3,3,3.0
GoAir,Delhi,Cochin,1,24,6,9.0
Vistara,Banglore,Delhi,0,27,4,2.75
Air India,Delhi,Cochin,2,27,3,25.75
Jet Airways,Banglore,Delhi,0,21,5,3.0
IndiGo,Delhi,Cochin,1,27,3,10.583333333333334
Multiple carriers,Delhi,Cochin,1,15,6,15.0
IndiGo,Kolkata,Banglore,0,6,3,2.75
Vistara,Chennai,Kolkata,0,9,5,2.25
Jet Airways,Delhi,Cochin,1,9,6,16.916666666666668
Air India,Delhi,Cochin,2,3,3,25.75
IndiGo,Delhi,Cochin,1,6,5,14.916666666666666
Multiple carriers,Delhi,Cochin,1,21,3,9.083333333333334
Jet Airways,Banglore,Delhi,1,6,3,14.083333333333334
Air India,Banglore,Delhi,1,15,3,8.0
IndiGo,Kolkata,Banglore,1,15,4,4.166666666666667
Multiple carriers,Delhi,Cochin,1,21,5,10.5
Jet Airways,Delhi,Cochin,1,3,4,16.75
Jet Airways,Kolkata,Banglore,1,24,5,8.5
Air Asia,Kolkata,Banglore,1,1,4,3.6666666666666665
Jet Airways,Kolkata,Banglore,1,18,5,23.833333333333332
SpiceJet,Kolkata,Banglore,0,21,3,2.5
Jet Airways,Banglore,Delhi,1,6,3,21.833333333333332
Jet Airways,Banglore,Delhi,1,6,3,10.25
SpiceJet,Kolkata,Banglore,0,21,6,2.4166666666666665
Jet Airways,Kolkata,Banglore,1,24,5,6.666666666666667
IndiGo,Delhi,Cochin,1,21,3,10.25
Air India,Kolkata,Banglore,1,12,5,25.25
Air India,Banglore,Delhi,0,9,3,2.8333333333333335
Vistara,Mumbai,Hyderabad,1,6,3,11.166666666666666
Air Asia,Banglore,Delhi,0,24,6,2.8333333333333335
Jet Airways,Kolkata,Banglore,1,21,5,13.333333333333334
Multiple carriers,Delhi,Cochin,1,12,6,12.75
IndiGo,Delhi,Cochin,1,27,5,10.5
Vistara,Banglore,Delhi,0,18,6,2.6666666666666665
Multiple carriers,Delhi,Cochin,1,6,3,7.583333333333333
Multiple carriers,Delhi,Cochin,1,9,6,12.0
Jet Airways,Delhi,Cochin,1,21,3,26.166666666666668
Jet Airways,Delhi,Cochin,1,21,5,14.75
Jet Airways,Delhi,Cochin,1,3,6,23.25
SpiceJet,Kolkata,Banglore,1,24,5,5.5
IndiGo,Kolkata,Banglore,0,18,4,2.5833333333333335
IndiGo,Mumbai,Hyderabad,0,27,6,1.5833333333333333
Jet Airways,Banglore,Delhi,1,18,3,10.166666666666666
Multiple carriers,Delhi,Cochin,1,21,3,10.833333333333334
Air India,Delhi,Cochin,0,6,3,3.0833333333333335
IndiGo,Chennai,Kolkata,0,12,6,2.3333333333333335
Jet Airways,Kolkata,Banglore,1,12,6,11.75
Jet Airways,Delhi,Cochin,1,18,5,10.166666666666666
Jet Airways,Kolkata,Banglore,1,24,3,11.666666666666666
Jet Airways,Kolkata,Banglore,1,12,5,28.25
GoAir,Delhi,Cochin,1,9,5,9.0
Jet Airways,Delhi,Cochin,1,1,4,24.75
Jet Airways,Kolkata,Banglore,1,15,5,19.166666666666668
SpiceJet,Mumbai,Hyderabad,0,27,5,1.5
Jet Airways,Delhi,Cochin,1,9,5,26.583333333333332
Air India,Delhi,Cochin,1,6,6,12.25
Air Asia,Delhi,Cochin,1,27,3,7.833333333333333
Multiple carriers,Delhi,Cochin,1,18,5,12.75
Jet Airways,Banglore,Delhi,0,24,3,2.6666666666666665
IndiGo,Banglore,Delhi,0,12,6,2.8333333333333335
Air India,Kolkata,Banglore,0,21,5,2.5
Air India,Mumbai,Hyderabad,0,18,3,1.3333333333333333
Jet Airways,Delhi,Cochin,1,27,6,24.75
Jet Airways,Delhi,Cochin,1,1,6,7.5
Jet Airways,Delhi,Cochin,1,15,6,9.0
Air India,Banglore,Delhi,0,18,6,2.8333333333333335
IndiGo,Delhi,Cochin,1,27,5,8.0
Air India,Banglore,Delhi,2,15,3,14.666666666666666
Jet Airways,Delhi,Cochin,2,27,6,17.416666666666668
Jet Airways,Delhi,Cochin,1,15,6,14.75
IndiGo,Banglore,Delhi,0,21,4,2.75
Jet Airways,Delhi,Cochin,2,24,6,26.916666666666668
Multiple carriers,Delhi,Cochin,1,9,5,12.166666666666666
Air India,Delhi,Cochin,0,6,4,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,9,5,12.5
Multiple carriers,Delhi,Cochin,1,6,3,6.5
Air India,Delhi,Cochin,2,18,5,14.416666666666666
Jet Airways,Delhi,Cochin,1,12,6,16.916666666666668
IndiGo,Delhi,Cochin,0,3,4,3.25
SpiceJet,Kolkata,Banglore,0,9,6,2.5
Jet Airways,Kolkata,Banglore,1,18,5,14.416666666666666
IndiGo,Mumbai,Hyderabad,0,27,6,1.5
Air India,Banglore,Delhi,2,3,3,25.75
Air India,Kolkata,Banglore,2,15,5,19.5
Jet Airways,Delhi,Cochin,2,24,5,22.916666666666668
Jet Airways,Kolkata,Banglore,1,15,5,11.083333333333334
Air India,Delhi,Cochin,1,24,6,20.916666666666668
Multiple carriers,Delhi,Cochin,1,27,6,6.583333333333333
Jet Airways,Delhi,Cochin,1,27,3,21.333333333333332
IndiGo,Kolkata,Banglore,1,21,5,3.9166666666666665
Vistara,Banglore,Delhi,0,15,4,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,1,6,12.75
Air Asia,Banglore,Delhi,0,3,6,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,27,3,6.583333333333333
IndiGo,Chennai,Kolkata,0,21,3,2.3333333333333335
IndiGo,Banglore,Delhi,0,6,5,2.9166666666666665
IndiGo,Chennai,Kolkata,0,15,6,2.3333333333333335
Multiple carriers,Delhi,Cochin,1,15,6,12.0
Air Asia,Delhi,Cochin,1,3,3,14.416666666666666
IndiGo,Chennai,Kolkata,0,21,3,2.25
Jet Airways,Delhi,Cochin,2,27,5,13.5
Jet Airways,Kolkata,Banglore,1,21,5,25.75
IndiGo,Banglore,Delhi,0,9,6,2.8333333333333335
Jet Airways,Delhi,Cochin,2,27,6,24.833333333333332
Multiple carriers,Delhi,Cochin,1,3,3,12.583333333333334
Air Asia,Kolkata,Banglore,1,15,5,11.833333333333334
Jet Airways,Delhi,Cochin,2,27,6,26.916666666666668
IndiGo,Delhi,Cochin,1,3,3,8.833333333333334
Air India,Kolkata,Banglore,2,24,5,19.416666666666668
Air India,Delhi,Cochin,1,12,6,12.25
GoAir,Kolkata,Banglore,1,1,4,7.583333333333333
Jet Airways,Kolkata,Banglore,1,12,6,19.5
Jet Airways,Delhi,Cochin,1,27,3,5.333333333333333
IndiGo,Delhi,Cochin,1,9,6,8.333333333333334
Air India,Banglore,Delhi,0,9,6,2.75
Jet Airways,Kolkata,Banglore,1,9,6,28.833333333333332
Jet Airways,Kolkata,Banglore,1,9,6,13.333333333333334
Jet Airways,Banglore,Delhi,1,1,3,23.75
Jet Airways,Delhi,Cochin,2,12,6,19.0
Vistara,Kolkata,Banglore,1,18,5,22.5
IndiGo,Kolkata,Banglore,0,27,4,2.5833333333333335
Vistara,Chennai,Kolkata,0,15,3,2.25
Jet Airways,Kolkata,Banglore,1,12,5,5.5
IndiGo,Kolkata,Banglore,0,9,5,2.5833333333333335
Air India,Banglore,Delhi,2,1,3,39.083333333333336
Jet Airways,Delhi,Cochin,1,9,5,9.0
IndiGo,Delhi,Cochin,1,27,5,12.5
IndiGo,Delhi,Cochin,1,3,3,4.416666666666667
GoAir,Delhi,Cochin,1,6,3,8.916666666666666
Multiple carriers,Delhi,Cochin,1,6,6,12.0
Multiple carriers,Delhi,Cochin,1,3,6,9.25
IndiGo,Kolkata,Banglore,0,21,3,2.5833333333333335
Jet Airways,Kolkata,Banglore,1,6,6,16.0
Jet Airways,Kolkata,Banglore,1,18,5,27.666666666666668
Multiple carriers,Delhi,Cochin,1,24,6,6.5
Jet Airways,Kolkata,Banglore,1,15,5,12.166666666666666
IndiGo,Delhi,Cochin,1,27,6,5.25
SpiceJet,Banglore,Delhi,0,24,4,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,27,6,12.75
SpiceJet,Banglore,Delhi,1,1,3,8.083333333333334
Jet Airways,Delhi,Cochin,2,6,6,26.916666666666668
Jet Airways,Delhi,Cochin,1,15,6,19.416666666666668
Jet Airways,Banglore,Delhi,1,12,3,6.5
SpiceJet,Mumbai,Hyderabad,0,9,3,1.4166666666666667
Multiple carriers,Delhi,Cochin,1,18,5,11.75
Multiple carriers,Delhi,Cochin,1,9,6,10.666666666666666
IndiGo,Delhi,Cochin,1,3,3,16.416666666666668
Air Asia,Banglore,Delhi,0,18,4,2.8333333333333335
Jet Airways,Delhi,Cochin,2,27,5,13.5
Air Asia,Delhi,Cochin,1,24,6,5.666666666666667
Air India,Delhi,Cochin,0,21,5,3.8333333333333335
IndiGo,Mumbai,Hyderabad,0,1,5,1.5
Multiple carriers,Delhi,Cochin,1,27,6,10.5
GoAir,Banglore,Delhi,0,12,4,2.75
SpiceJet,Kolkata,Banglore,0,24,6,2.5833333333333335
Air India,Mumbai,Hyderabad,0,3,4,1.5
Multiple carriers,Delhi,Cochin,1,21,5,12.583333333333334
IndiGo,Delhi,Cochin,1,3,3,5.75
Jet Airways,Banglore,Delhi,0,12,5,3.0833333333333335
SpiceJet,Banglore,Delhi,0,3,5,2.9166666666666665
IndiGo,Delhi,Cochin,1,21,3,5.833333333333333
IndiGo,Banglore,Delhi,1,15,3,4.75
Jet Airways,Banglore,Delhi,0,9,6,2.9166666666666665
Multiple carriers,Delhi,Cochin,1,15,5,12.25
Jet Airways,Delhi,Cochin,2,24,6,8.416666666666666
Vistara,Kolkata,Banglore,1,15,5,27.583333333333332
SpiceJet,Kolkata,Banglore,0,6,4,2.5
SpiceJet,Kolkata,Banglore,1,9,6,8.666666666666666
Jet Airways,Banglore,Delhi,0,6,4,2.9166666666666665
Jet Airways,Banglore,Delhi,0,15,4,3.0
Jet Airways,Delhi,Cochin,1,3,6,17.333333333333332
IndiGo,Kolkata,Banglore,0,12,6,2.5833333333333335
IndiGo,Kolkata,Banglore,1,9,5,4.916666666666667
IndiGo,Banglore,Delhi,0,21,4,2.8333333333333335
IndiGo,Delhi,Cochin,1,9,6,16.25
IndiGo,Delhi,Cochin,1,6,3,5.75
Air Asia,Delhi,Cochin,1,12,6,7.833333333333333
IndiGo,Banglore,Delhi,0,3,4,2.8333333333333335
Vistara,Kolkata,Banglore,1,6,6,27.583333333333332
Vistara,Kolkata,Banglore,1,21,5,14.416666666666666
Air India,Kolkata,Banglore,2,1,5,27.75
Multiple carriers,Delhi,Cochin,1,6,3,6.416666666666667
Multiple carriers,Delhi,Cochin,1,1,6,15.166666666666666
Air Asia,Kolkata,Banglore,1,24,3,3.5833333333333335
Air India,Delhi,Cochin,1,27,3,12.25
IndiGo,Delhi,Cochin,1,21,3,5.083333333333333
IndiGo,Delhi,Cochin,1,9,5,4.916666666666667
IndiGo,Banglore,Delhi,0,24,6,3.0833333333333335
IndiGo,Kolkata,Banglore,1,6,6,3.6666666666666665
Jet Airways,Kolkata,Banglore,1,9,5,22.25
Multiple carriers,Delhi,Cochin,1,21,5,10.5
SpiceJet,Kolkata,Banglore,0,21,5,2.5833333333333335
Jet Airways,Kolkata,Banglore,1,15,5,12.916666666666666
IndiGo,Kolkata,Banglore,0,24,5,2.5833333333333335
IndiGo,Banglore,Delhi,0,1,6,2.8333333333333335
Multiple carriers,Delhi,Cochin,1,27,5,7.75
Jet Airways,Kolkata,Banglore,1,15,5,28.083333333333332
Jet Airways,Delhi,Cochin,1,9,6,12.416666666666666
Air India,Banglore,Delhi,0,3,4,2.75
Jet Airways,Delhi,Cochin,1,6,4,25.083333333333332
Air India,Kolkata,Banglore,0,1,4,2.5833333333333335
Multiple carriers,Delhi,Cochin,1,18,5,13.0
Jet Airways,Delhi,Cochin,1,3,6,20.583333333333332
Jet Airways,Delhi,Cochin,2,6,6,21.583333333333332
Jet Airways,Delhi,Cochin,1,21,3,9.833333333333334
