Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Total_Duration
Air Asia,Banglore,Delhi,non-stop,3383,21,6,2.833333333333333
IndiGo,Kolkata,Banglore,non-stop,4804,21,4,2.583333333333333
Air Asia,Banglore,Delhi,non-stop,3383,27,5,2.833333333333333
IndiGo,Kolkata,Banglore,1 stop,6991,24,5,5.333333333333333
Air India,Delhi,Cochin,2 stops,10441,9,5,38.25
IndiGo,Delhi,Cochin,1 stop,5073,21,3,4.416666666666667
Multiple carriers,Delhi,Cochin,1 stop,7695,21,3,15.25
Air India,Delhi,Cochin,1 stop,7480,24,5,12.75
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,25.08333333333333
Jet Airways,Banglore,Delhi,1 stop,13817,12,3,12.5
Jet Airways,Kolkata,Banglore,1 stop,13067,21,5,9.583333333333334
SpiceJet,Mumbai,Hyderabad,non-stop,1965,6,6,1.5
IndiGo,Delhi,Cochin,1 stop,6674,6,6,9.333333333333334
Air India,Mumbai,Hyderabad,2 stops,16172,12,3,11.833333333333334
Multiple carriers,Delhi,Cochin,1 stop,7268,24,6,6.416666666666667
Jet Airways,Banglore,Delhi,1 stop,17524,15,3,5.25
Multiple carriers,Delhi,Cochin,1 stop,7888,21,5,7.5
IndiGo,Mumbai,Hyderabad,non-stop,2754,6,6,1.5
Air India,Banglore,Delhi,3 stops,10573,3,3,11.916666666666666
Multiple carriers,Delhi,Cochin,1 stop,11789,9,6,7.333333333333333
Jet Airways,Kolkata,Banglore,1 stop,13067,6,5,22.75
IndiGo,Banglore,Delhi,non-stop,4238,24,3,2.75
Multiple carriers,Delhi,Cochin,1 stop,9794,21,5,11.5
Air India,Delhi,Cochin,2 stops,7615,21,3,26.33333333333333
Jet Airways,Delhi,Cochin,2 stops,11664,21,3,42.083333333333336
Jet Airways,Kolkata,Banglore,1 stop,7064,1,4,13.333333333333334
IndiGo,Kolkata,Banglore,1 stop,3809,15,4,4.416666666666667
SpiceJet,Kolkata,Banglore,non-stop,3841,18,6,2.5
Multiple carriers,Delhi,Cochin,1 stop,6795,27,5,13.833333333333334
IndiGo,Kolkata,Banglore,1 stop,4565,24,4,4.833333333333333
IndiGo,Delhi,Cochin,1 stop,12351,9,3,7.0
IndiGo,Delhi,Cochin,non-stop,5021,18,3,3.25
Air India,Delhi,Cochin,2 stops,10467,21,5,20.33333333333333
Air India,Banglore,Delhi,non-stop,6121,15,4,2.75
SpiceJet,Chennai,Kolkata,non-stop,6300,15,3,2.333333333333333
Air Asia,Banglore,Delhi,non-stop,10715,1,3,2.833333333333333
Air India,Kolkata,Banglore,non-stop,5510,24,5,2.5
Jet Airways,Banglore,Delhi,non-stop,6144,3,5,3.083333333333333
Jet Airways,Delhi,Cochin,2 stops,19329,6,3,24.58333333333333
Air India,Mumbai,Hyderabad,2 stops,13253,6,3,30.666666666666668
Jet Airways,Kolkata,Banglore,1 stop,13941,12,5,13.333333333333334
IndiGo,Kolkata,Banglore,non-stop,4488,1,4,2.583333333333333
SpiceJet,Kolkata,Banglore,non-stop,3841,3,6,2.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,7575,15,5,7.833333333333333
Air India,Delhi,Cochin,2 stops,9968,27,5,26.58333333333333
Jet Airways,Delhi,Cochin,2 stops,15129,9,5,29.58333333333333
IndiGo,Kolkata,Banglore,1 stop,4864,6,5,5.5
Air India,Delhi,Cochin,1 stop,7480,3,6,16.083333333333332
Multiple carriers,Delhi,Cochin,1 stop,15867,6,3,11.833333333333334
Jet Airways,Kolkata,Banglore,1 stop,13067,21,5,12.5
Air India,Kolkata,Banglore,1 stop,8366,9,5,15.083333333333334
Air India,Delhi,Cochin,2 stops,21571,3,3,30.33333333333333
Air Asia,Banglore,Delhi,non-stop,4282,12,5,2.833333333333333
Air India,Delhi,Cochin,2 stops,13591,9,5,26.33333333333333
Vistara,Kolkata,Banglore,1 stop,7927,1,4,27.08333333333333
Jet Airways,Delhi,Cochin,1 stop,14714,3,6,28.0
Jet Airways,Banglore,Delhi,1 stop,11087,12,3,21.25
Jet Airways,Kolkata,Banglore,1 stop,9314,1,5,26.166666666666668
IndiGo,Delhi,Cochin,1 stop,7060,9,6,4.833333333333333
IndiGo,Chennai,Kolkata,non-stop,7900,1,3,2.4166666666666665
Jet Airways,Mumbai,Hyderabad,non-stop,5678,24,6,1.4166666666666667
IndiGo,Kolkata,Banglore,1 stop,4860,24,4,4.583333333333333
SpiceJet,Mumbai,Hyderabad,non-stop,2017,1,5,1.5
IndiGo,Kolkata,Banglore,1 stop,5069,12,6,4.833333333333333
Vistara,Kolkata,Banglore,1 stop,9397,9,6,27.58333333333333
IndiGo,Delhi,Cochin,1 stop,5073,6,4,5.0
Air India,Kolkata,Banglore,3 stops,15145,24,3,17.333333333333332
Multiple carriers,Delhi,Cochin,1 stop,8099,24,6,10.0
Air India,Banglore,Delhi,1 stop,14594,6,3,8.0
IndiGo,Delhi,Cochin,non-stop,4729,27,3,3.083333333333333
IndiGo,Kolkata,Banglore,non-stop,4804,21,5,2.583333333333333
Jet Airways,Delhi,Cochin,2 stops,19644,27,5,7.333333333333333
Air India,Delhi,Cochin,2 stops,8656,27,3,23.5
Jet Airways,Delhi,Cochin,2 stops,13014,9,6,26.916666666666668
IndiGo,Delhi,Cochin,1 stop,6442,27,3,9.5
Jet Airways,Delhi,Cochin,1 stop,12373,9,5,23.58333333333333
Jet Airways,Kolkata,Banglore,1 stop,10539,6,6,28.83333333333333
Jet Airways,Kolkata,Banglore,1 stop,10844,21,5,13.333333333333334
Vistara,Kolkata,Banglore,1 stop,8452,6,6,16.083333333333332
IndiGo,Delhi,Cochin,1 stop,7144,18,5,13.916666666666666
SpiceJet,Banglore,Delhi,non-stop,5126,9,3,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,6795,12,6,6.5
Jet Airways,Kolkata,Banglore,1 stop,8586,12,5,12.916666666666666
SpiceJet,Kolkata,Banglore,non-stop,4439,18,5,2.4166666666666665
SpiceJet,Banglore,Delhi,non-stop,6205,15,3,2.9166666666666665
IndiGo,Banglore,Delhi,non-stop,4284,6,5,2.9166666666666665
Jet Airways,Kolkata,Banglore,1 stop,14571,6,6,7.083333333333333
Air Asia,Kolkata,Banglore,non-stop,3807,6,4,2.5
SpiceJet,Kolkata,Banglore,non-stop,3850,6,3,2.6666666666666665
SpiceJet,Kolkata,Banglore,1 stop,8479,18,5,7.25
Multiple carriers,Delhi,Cochin,1 stop,8073,18,5,12.0
IndiGo,Banglore,Delhi,non-stop,3943,1,6,2.833333333333333
IndiGo,Chennai,Kolkata,non-stop,4332,9,5,2.4166666666666665
SpiceJet,Kolkata,Banglore,non-stop,4174,27,4,2.5
Air India,Banglore,Delhi,1 stop,14594,1,3,21.08333333333333
Jet Airways,Delhi,Cochin,2 stops,11507,3,6,13.5
Multiple carriers,Delhi,Cochin,1 stop,6093,15,6,15.333333333333334
IndiGo,Banglore,Delhi,non-stop,8033,24,3,2.9166666666666665
IndiGo,Banglore,Delhi,non-stop,4823,27,6,3.0
Jet Airways,Delhi,Cochin,2 stops,13292,3,6,15.166666666666666
Multiple carriers,Delhi,Cochin,1 stop,9526,15,6,7.583333333333333
SpiceJet,Kolkata,Banglore,non-stop,3815,21,3,2.333333333333333
IndiGo,Chennai,Kolkata,non-stop,3597,27,6,2.333333333333333
Jet Airways,Delhi,Cochin,2 stops,13376,15,6,13.833333333333334
SpiceJet,Mumbai,Hyderabad,non-stop,2017,9,5,1.5
Air India,Kolkata,Banglore,2 stops,11853,24,3,15.916666666666666
Jet Airways,Delhi,Cochin,1 stop,10262,12,6,6.0
SpiceJet,Chennai,Kolkata,non-stop,3859,24,3,2.583333333333333
Air India,Kolkata,Banglore,2 stops,12744,9,6,22.416666666666668
Multiple carriers,Delhi,Cochin,2 stops,18485,1,6,7.666666666666667
Air India,Kolkata,Banglore,2 stops,13227,6,5,23.08333333333333
IndiGo,Chennai,Kolkata,non-stop,3597,21,6,2.333333333333333
IndiGo,Kolkata,Banglore,non-stop,4804,12,5,2.5
IndiGo,Banglore,Delhi,non-stop,4423,15,6,2.75
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,21.58333333333333
SpiceJet,Chennai,Kolkata,non-stop,3543,6,5,2.25
IndiGo,Kolkata,Banglore,non-stop,4174,12,4,2.6666666666666665
SpiceJet,Delhi,Cochin,1 stop,7084,9,3,6.25
Air India,Kolkata,Banglore,2 stops,14960,15,5,23.08333333333333
Jet Airways,Kolkata,Banglore,1 stop,13339,24,3,9.833333333333334
Jet Airways,Banglore,Delhi,non-stop,7229,12,4,3.0
IndiGo,Delhi,Cochin,1 stop,6818,18,5,11.083333333333334
Jet Airways,Delhi,Cochin,2 stops,13376,6,6,21.666666666666668
IndiGo,Delhi,Cochin,1 stop,6316,9,6,10.5
Air India,Delhi,Cochin,non-stop,5201,18,6,3.083333333333333
IndiGo,Delhi,Cochin,1 stop,10958,18,5,5.083333333333333
IndiGo,Chennai,Kolkata,non-stop,3858,21,6,2.4166666666666665
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,6.0
Air India,Kolkata,Banglore,1 stop,8996,24,5,4.083333333333333
Jet Airways,Delhi,Cochin,2 stops,8098,27,3,38.583333333333336
SpiceJet,Chennai,Kolkata,non-stop,3543,1,5,2.25
Multiple carriers,Delhi,Cochin,1 stop,10529,24,5,11.5
Jet Airways,Delhi,Cochin,1 stop,7438,21,3,16.583333333333332
Jet Airways,Delhi,Cochin,1 stop,12373,9,5,14.416666666666666
IndiGo,Banglore,Delhi,non-stop,4823,27,5,2.9166666666666665
Jet Airways,Banglore,Delhi,non-stop,5769,21,6,3.0
Multiple carriers,Delhi,Cochin,1 stop,9042,21,3,6.333333333333333
Air India,Delhi,Cochin,1 stop,4697,6,4,16.083333333333332
Jet Airways,Kolkata,Banglore,1 stop,10844,9,5,5.75
Air Asia,Banglore,Delhi,non-stop,8420,9,6,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,7563,6,3,9.0
Air India,Delhi,Cochin,1 stop,7480,15,5,12.75
Jet Airways,Banglore,Delhi,non-stop,4030,6,5,2.9166666666666665
Multiple carriers,Delhi,Cochin,1 stop,6513,12,6,15.333333333333334
Jet Airways,Kolkata,Banglore,1 stop,8355,9,6,7.25
Multiple carriers,Delhi,Cochin,2 stops,16655,21,5,10.416666666666666
Jet Airways,Kolkata,Banglore,1 stop,10844,18,5,12.5
SpiceJet,Kolkata,Banglore,non-stop,3873,21,6,2.5
IndiGo,Kolkata,Banglore,non-stop,5224,9,6,2.5
Jet Airways,Kolkata,Banglore,1 stop,10844,15,5,19.5
IndiGo,Kolkata,Banglore,non-stop,4778,3,3,2.833333333333333
Jet Airways,Delhi,Cochin,1 stop,16289,9,3,22.0
Air India,Delhi,Cochin,non-stop,5674,18,3,2.833333333333333
Air India,Mumbai,Hyderabad,2 stops,12854,12,3,29.916666666666668
Air India,Banglore,Delhi,1 stop,8425,9,3,13.083333333333334
Jet Airways,Delhi,Cochin,2 stops,9328,21,3,37.333333333333336
Multiple carriers,Delhi,Cochin,1 stop,17057,3,3,13.25
Jet Airways,Banglore,Delhi,non-stop,7229,3,5,3.0
IndiGo,Delhi,Cochin,1 stop,14871,3,3,9.5
Jet Airways,Delhi,Cochin,2 stops,14300,27,6,30.75
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,12.166666666666666
Multiple carriers,Delhi,Cochin,1 stop,10877,9,6,14.083333333333334
IndiGo,Kolkata,Banglore,1 stop,5386,21,5,4.666666666666667
Multiple carriers,Delhi,Cochin,1 stop,11622,27,3,8.083333333333334
Multiple carriers,Delhi,Cochin,1 stop,10197,27,5,15.166666666666666
Air Asia,Delhi,Cochin,1 stop,8028,21,5,5.75
IndiGo,Mumbai,Hyderabad,non-stop,2754,1,6,1.5
Air India,Banglore,Delhi,1 stop,6781,3,3,13.166666666666666
SpiceJet,Kolkata,Banglore,non-stop,3841,21,5,2.5
Multiple carriers,Delhi,Cochin,1 stop,8266,6,6,8.916666666666666
IndiGo,Banglore,Delhi,non-stop,6144,24,3,2.9166666666666665
Jet Airways,Banglore,Delhi,non-stop,4544,24,4,2.9166666666666665
Jet Airways,Delhi,Cochin,2 stops,14441,3,6,7.083333333333333
Air India,Mumbai,Hyderabad,non-stop,3100,12,6,1.3333333333333333
Jet Airways,Kolkata,Banglore,1 stop,13067,18,5,18.0
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,28.666666666666668
IndiGo,Delhi,Cochin,1 stop,6442,15,5,7.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,6480,27,6,10.666666666666666
Air India,Banglore,Delhi,1 stop,11003,3,3,24.83333333333333
Vistara,Banglore,Delhi,non-stop,4668,12,6,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,13941,9,5,22.166666666666668
Vistara,Kolkata,Banglore,1 stop,8820,12,5,11.666666666666666
Air India,Delhi,Cochin,1 stop,9064,9,3,5.25
Jet Airways,Kolkata,Banglore,1 stop,10844,6,6,11.416666666666666
Jet Airways,Delhi,Cochin,2 stops,15129,18,5,13.5
Multiple carriers,Delhi,Cochin,1 stop,6513,9,5,9.0
Jet Airways,Kolkata,Banglore,1 stop,14676,9,6,6.583333333333333
IndiGo,Banglore,Delhi,non-stop,4823,18,5,2.9166666666666665
IndiGo,Kolkata,Banglore,non-stop,4174,12,4,2.5
Jet Airways,Delhi,Cochin,2 stops,19172,9,3,12.5
SpiceJet,Banglore,Delhi,non-stop,4423,12,4,2.6666666666666665
SpiceJet,Kolkata,Banglore,non-stop,3873,12,6,2.583333333333333
IndiGo,Delhi,Cochin,1 stop,7189,3,6,5.75
Jet Airways,Kolkata,Banglore,1 stop,13731,6,6,22.166666666666668
Jet Airways,Kolkata,Banglore,1 stop,14151,12,5,25.33333333333333
Air India,Chennai,Kolkata,non-stop,4667,21,5,2.25
Jet Airways,Delhi,Cochin,2 stops,8834,21,3,33.25
Jet Airways,Kolkata,Banglore,1 stop,11467,1,5,22.75
Vistara,Mumbai,Hyderabad,1 stop,12395,6,3,8.0
Multiple carriers,Delhi,Cochin,1 stop,7858,21,5,7.666666666666667
IndiGo,Kolkata,Banglore,non-stop,4804,24,5,2.583333333333333
Jet Airways,Kolkata,Banglore,1 stop,13469,9,6,13.333333333333334
IndiGo,Delhi,Cochin,non-stop,7673,6,3,3.083333333333333
Jet Airways,Kolkata,Banglore,1 stop,14151,9,6,25.0
Jet Airways,Delhi,Cochin,1 stop,10262,24,6,21.58333333333333
Jet Airways,Delhi,Cochin,2 stops,13014,24,6,26.916666666666668
Jet Airways,Delhi,Cochin,1 stop,12373,9,5,6.0
Jet Airways,Delhi,Cochin,1 stop,11399,18,5,9.0
SpiceJet,Banglore,Delhi,non-stop,3971,6,5,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,6007,27,6,15.0
Air India,Banglore,Delhi,1 stop,6383,15,3,12.416666666666666
IndiGo,Banglore,Delhi,non-stop,5740,12,5,2.833333333333333
SpiceJet,Mumbai,Hyderabad,non-stop,1965,15,6,1.5
Multiple carriers,Delhi,Cochin,2 stops,5935,21,3,14.166666666666666
IndiGo,Kolkata,Banglore,non-stop,4174,6,4,2.75
IndiGo,Delhi,Cochin,1 stop,7738,21,3,8.583333333333334
Air India,Delhi,Cochin,2 stops,10441,24,5,21.25
Air India,Mumbai,Hyderabad,non-stop,3100,15,3,1.3333333333333333
Jet Airways,Delhi,Cochin,1 stop,14714,6,6,25.5
Vistara,Kolkata,Banglore,1 stop,9135,9,6,25.83333333333333
Air India,Kolkata,Banglore,1 stop,7893,1,4,25.666666666666668
Jet Airways,Kolkata,Banglore,1 stop,12121,6,5,6.583333333333333
Air India,Delhi,Cochin,non-stop,6094,9,6,3.0
IndiGo,Banglore,Delhi,non-stop,4423,9,6,2.833333333333333
Jet Airways,Banglore,Delhi,1 stop,7832,21,3,11.083333333333334
Vistara,Banglore,Delhi,non-stop,5403,3,4,2.833333333333333
SpiceJet,Kolkata,Banglore,non-stop,3841,1,4,2.4166666666666665
Jet Airways,Delhi,Cochin,2 stops,11093,21,3,17.666666666666668
Jet Airways,Banglore,Delhi,non-stop,7229,24,4,3.0
IndiGo,Banglore,Delhi,non-stop,4823,27,5,3.0
Jet Airways,Kolkata,Banglore,1 stop,11467,1,5,9.583333333333334
IndiGo,Kolkata,Banglore,1 stop,6111,1,5,5.5
Jet Airways,Kolkata,Banglore,1 stop,8066,9,5,17.916666666666668
IndiGo,Delhi,Cochin,1 stop,7258,27,3,16.25
Air India,Delhi,Cochin,non-stop,4729,27,3,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,15135,6,3,9.666666666666666
Air India,Kolkata,Banglore,2 stops,12718,24,5,15.916666666666666
Jet Airways,Mumbai,Hyderabad,non-stop,5678,18,6,1.4166666666666667
IndiGo,Delhi,Cochin,1 stop,5298,24,6,5.333333333333333
Jet Airways,Banglore,Delhi,1 stop,14815,6,3,13.083333333333334
Jet Airways,Delhi,Cochin,2 stops,13014,24,6,22.916666666666668
SpiceJet,Kolkata,Banglore,non-stop,4491,18,5,2.4166666666666665
Multiple carriers,Delhi,Cochin,1 stop,11421,27,3,8.5
Jet Airways,Banglore,Delhi,1 stop,12284,18,3,23.666666666666668
Jet Airways,Banglore,Delhi,non-stop,7229,12,5,2.75
IndiGo,Banglore,Delhi,non-stop,4823,15,4,2.9166666666666665
Jet Airways,Delhi,Cochin,1 stop,12898,27,6,7.5
Multiple carriers,Delhi,Cochin,1 stop,13587,27,6,13.916666666666666
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,19.416666666666668
Multiple carriers,Delhi,Cochin,1 stop,5999,21,3,15.166666666666666
Air India,Kolkata,Banglore,2 stops,10907,18,5,10.166666666666666
Jet Airways,Kolkata,Banglore,1 stop,14151,6,6,11.5
IndiGo,Banglore,Delhi,non-stop,4591,12,5,2.833333333333333
Jet Airways,Banglore,Delhi,1 stop,19225,6,3,6.25
Jet Airways,Kolkata,Banglore,1 stop,9663,6,5,21.916666666666668
Jet Airways,Kolkata,Banglore,1 stop,10844,1,5,11.75
Multiple carriers,Delhi,Cochin,1 stop,13727,9,5,8.0
Jet Airways,Kolkata,Banglore,1 stop,14151,18,5,11.5
Jet Airways,Delhi,Cochin,1 stop,10262,27,6,18.33333333333333
SpiceJet,Kolkata,Banglore,non-stop,3873,12,6,2.4166666666666665
Jet Airways,Delhi,Cochin,2 stops,13014,24,6,8.916666666666666
Air India,Kolkata,Banglore,non-stop,5510,21,6,2.5
Jet Airways,Delhi,Cochin,2 stops,17282,9,3,17.666666666666668
Multiple carriers,Delhi,Cochin,2 stops,6653,27,3,11.583333333333334
IndiGo,Delhi,Cochin,1 stop,12214,3,3,5.25
Air India,Mumbai,Hyderabad,non-stop,3625,1,5,1.5
IndiGo,Banglore,Delhi,non-stop,6860,3,3,3.0
GoAir,Delhi,Cochin,1 stop,3876,24,6,9.0
Vistara,Banglore,Delhi,non-stop,5613,27,4,2.75
Air India,Delhi,Cochin,2 stops,8971,27,3,25.75
Jet Airways,Banglore,Delhi,non-stop,4030,21,5,3.0
IndiGo,Delhi,Cochin,1 stop,8075,27,3,10.583333333333334
Multiple carriers,Delhi,Cochin,1 stop,7005,15,6,15.0
IndiGo,Kolkata,Banglore,non-stop,4778,6,3,2.75
Vistara,Chennai,Kolkata,non-stop,3687,9,5,2.25
Jet Airways,Delhi,Cochin,1 stop,10262,9,6,16.916666666666668
Air India,Delhi,Cochin,2 stops,15113,3,3,25.75
IndiGo,Delhi,Cochin,1 stop,6979,6,5,14.916666666666666
Multiple carriers,Delhi,Cochin,1 stop,6717,21,3,9.083333333333334
Jet Airways,Banglore,Delhi,1 stop,16736,6,3,14.083333333333334
Air India,Banglore,Delhi,1 stop,7192,15,3,8.0
IndiGo,Kolkata,Banglore,1 stop,4226,15,4,4.166666666666667
Multiple carriers,Delhi,Cochin,1 stop,9627,21,5,10.5
Jet Airways,Delhi,Cochin,1 stop,4757,3,4,16.75
Jet Airways,Kolkata,Banglore,1 stop,14571,24,5,8.5
Air Asia,Kolkata,Banglore,1 stop,5162,1,4,3.6666666666666665
Jet Airways,Kolkata,Banglore,1 stop,10844,18,5,23.83333333333333
SpiceJet,Kolkata,Banglore,non-stop,3815,21,3,2.5
Jet Airways,Banglore,Delhi,1 stop,17261,6,3,21.83333333333333
Jet Airways,Banglore,Delhi,1 stop,16736,6,3,10.25
SpiceJet,Kolkata,Banglore,non-stop,3841,21,6,2.4166666666666665
Jet Airways,Kolkata,Banglore,1 stop,10844,24,5,6.666666666666667
IndiGo,Delhi,Cochin,1 stop,6838,21,3,10.25
Air India,Kolkata,Banglore,1 stop,6612,12,5,25.25
Air India,Banglore,Delhi,non-stop,8851,9,3,2.833333333333333
Vistara,Mumbai,Hyderabad,1 stop,12395,6,3,11.166666666666666
Air Asia,Banglore,Delhi,non-stop,4282,24,6,2.833333333333333
Jet Airways,Kolkata,Banglore,1 stop,14781,21,5,13.333333333333334
Multiple carriers,Delhi,Cochin,1 stop,9646,12,6,12.75
IndiGo,Delhi,Cochin,1 stop,6628,27,5,10.5
Vistara,Banglore,Delhi,non-stop,4668,18,6,2.6666666666666665
Multiple carriers,Delhi,Cochin,1 stop,16863,6,3,7.583333333333333
Multiple carriers,Delhi,Cochin,1 stop,12192,9,6,12.0
Jet Airways,Delhi,Cochin,1 stop,12719,21,3,26.166666666666668
Jet Airways,Delhi,Cochin,1 stop,12898,21,5,14.75
Jet Airways,Delhi,Cochin,1 stop,10262,3,6,23.25
SpiceJet,Kolkata,Banglore,1 stop,7804,24,5,5.5
IndiGo,Kolkata,Banglore,non-stop,4174,18,4,2.583333333333333
IndiGo,Mumbai,Hyderabad,non-stop,2227,27,6,1.5833333333333333
Jet Airways,Banglore,Delhi,1 stop,11087,18,3,10.166666666666666
Multiple carriers,Delhi,Cochin,1 stop,11667,21,3,10.833333333333334
Air India,Delhi,Cochin,non-stop,7931,6,3,3.083333333333333
IndiGo,Chennai,Kolkata,non-stop,5277,12,6,2.333333333333333
Jet Airways,Kolkata,Banglore,1 stop,13626,12,6,11.75
Jet Airways,Delhi,Cochin,1 stop,12373,18,5,10.166666666666666
Jet Airways,Kolkata,Banglore,1 stop,10031,24,3,11.666666666666666
Jet Airways,Kolkata,Banglore,1 stop,10844,12,5,28.25
GoAir,Delhi,Cochin,1 stop,6591,9,5,9.0
Jet Airways,Delhi,Cochin,1 stop,5406,1,4,24.75
Jet Airways,Kolkata,Banglore,1 stop,10844,15,5,19.166666666666668
SpiceJet,Mumbai,Hyderabad,non-stop,2017,27,5,1.5
Jet Airways,Delhi,Cochin,1 stop,12373,9,5,26.58333333333333
Air India,Delhi,Cochin,1 stop,8669,6,6,12.25
Air Asia,Delhi,Cochin,1 stop,6151,27,3,7.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,10348,18,5,12.75
Jet Airways,Banglore,Delhi,non-stop,8016,24,3,2.6666666666666665
IndiGo,Banglore,Delhi,non-stop,4823,12,6,2.833333333333333
Air India,Kolkata,Banglore,non-stop,5510,21,5,2.5
Air India,Mumbai,Hyderabad,non-stop,3100,18,3,1.3333333333333333
Jet Airways,Delhi,Cochin,1 stop,10262,27,6,24.75
Jet Airways,Delhi,Cochin,1 stop,14714,1,6,7.5
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,9.0
Air India,Banglore,Delhi,non-stop,6961,18,6,2.833333333333333
IndiGo,Delhi,Cochin,1 stop,6206,27,5,8.0
Air India,Banglore,Delhi,2 stops,7904,15,3,14.666666666666666
Jet Airways,Delhi,Cochin,2 stops,12819,27,6,17.416666666666668
Jet Airways,Delhi,Cochin,1 stop,10262,15,6,14.75
IndiGo,Banglore,Delhi,non-stop,4591,21,4,2.75
Jet Airways,Delhi,Cochin,2 stops,10368,24,6,26.916666666666668
Multiple carriers,Delhi,Cochin,1 stop,11142,9,5,12.166666666666666
Air India,Delhi,Cochin,non-stop,4729,6,4,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,9424,9,5,12.5
Multiple carriers,Delhi,Cochin,1 stop,15136,6,3,6.5
Air India,Delhi,Cochin,2 stops,12199,18,5,14.416666666666666
Jet Airways,Delhi,Cochin,1 stop,10262,12,6,16.916666666666668
IndiGo,Delhi,Cochin,non-stop,4729,3,4,3.25
SpiceJet,Kolkata,Banglore,non-stop,3841,9,6,2.5
Jet Airways,Kolkata,Banglore,1 stop,14388,18,5,14.416666666666666
IndiGo,Mumbai,Hyderabad,non-stop,2754,27,6,1.5
Air India,Banglore,Delhi,2 stops,12358,3,3,25.75
Air India,Kolkata,Banglore,2 stops,6117,15,5,19.5
Jet Airways,Delhi,Cochin,2 stops,15129,24,5,22.916666666666668
Jet Airways,Kolkata,Banglore,1 stop,14388,15,5,11.083333333333334
Air India,Delhi,Cochin,1 stop,7480,24,6,20.916666666666668
Multiple carriers,Delhi,Cochin,1 stop,10791,27,6,6.583333333333333
Jet Airways,Delhi,Cochin,1 stop,12452,27,3,21.33333333333333
IndiGo,Kolkata,Banglore,1 stop,4226,21,5,3.9166666666666665
Vistara,Banglore,Delhi,non-stop,5403,15,4,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,9646,1,6,12.75
Air Asia,Banglore,Delhi,non-stop,4282,3,6,2.833333333333333
Multiple carriers,Delhi,Cochin,1 stop,7845,27,3,6.583333333333333
IndiGo,Chennai,Kolkata,non-stop,3384,21,3,2.333333333333333
IndiGo,Banglore,Delhi,non-stop,4823,6,5,2.9166666666666665
IndiGo,Chennai,Kolkata,non-stop,3597,15,6,2.333333333333333
Multiple carriers,Delhi,Cochin,1 stop,13587,15,6,12.0
Air Asia,Delhi,Cochin,1 stop,13474,3,3,14.416666666666666
IndiGo,Chennai,Kolkata,non-stop,3384,21,3,2.25
Jet Airways,Delhi,Cochin,2 stops,15129,27,5,13.5
Jet Airways,Kolkata,Banglore,1 stop,8586,21,5,25.75
IndiGo,Banglore,Delhi,non-stop,4591,9,6,2.833333333333333
Jet Airways,Delhi,Cochin,2 stops,13882,27,6,24.83333333333333
Multiple carriers,Delhi,Cochin,1 stop,18286,3,3,12.583333333333334
Air Asia,Kolkata,Banglore,1 stop,5192,15,5,11.833333333333334
Jet Airways,Delhi,Cochin,2 stops,11118,27,6,26.916666666666668
IndiGo,Delhi,Cochin,1 stop,14871,3,3,8.833333333333334
Air India,Kolkata,Banglore,2 stops,15107,24,5,19.416666666666668
Air India,Delhi,Cochin,1 stop,8669,12,6,12.25
GoAir,Kolkata,Banglore,1 stop,5171,1,4,7.583333333333333
Jet Airways,Kolkata,Banglore,1 stop,8529,12,6,19.5
Jet Airways,Delhi,Cochin,1 stop,7438,27,3,5.333333333333333
IndiGo,Delhi,Cochin,1 stop,6206,9,6,8.333333333333334
Air India,Banglore,Delhi,non-stop,7171,9,6,2.75
Jet Airways,Kolkata,Banglore,1 stop,14151,9,6,28.83333333333333
Jet Airways,Kolkata,Banglore,1 stop,14939,9,6,13.333333333333334
Jet Airways,Banglore,Delhi,1 stop,25735,1,3,23.75
Jet Airways,Delhi,Cochin,2 stops,13882,12,6,19.0
Vistara,Kolkata,Banglore,1 stop,9555,18,5,22.5
IndiGo,Kolkata,Banglore,non-stop,4804,27,4,2.583333333333333
Vistara,Chennai,Kolkata,non-stop,6627,15,3,2.25
Jet Airways,Kolkata,Banglore,1 stop,8586,12,5,5.5
IndiGo,Kolkata,Banglore,non-stop,4804,9,5,2.583333333333333
Air India,Banglore,Delhi,2 stops,17135,1,3,39.083333333333336
Jet Airways,Delhi,Cochin,1 stop,15554,9,5,9.0
IndiGo,Delhi,Cochin,1 stop,6838,27,5,12.5
IndiGo,Delhi,Cochin,1 stop,8258,3,3,4.416666666666667
